Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"Nathalie de Marcellis-Warin, Frédéric Marty, Eva Thelisson, Thierry Warin","Artificial intelligence and consumer manipulations: from consumer's counter algorithms to firm's self-regulation tools",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00149-5","",856,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00149-5","2730-5953","",2,2,259,268,13,4.33,3,4,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00149-5.pdf",""
12,"Tim Gorichanaz","Being at home in the metaverse? Prospectus for a social imaginary",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00198-w","",496,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00198-w","2730-5953","",3,2,647,658,12,4.00,12,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00198-w.pdf",""
12,"Aastha Pant, Rashina Hoda, Simone V. Spiegler, Chakkrit Tantithamthavorn, Burak Turhan","Ethics in the Age of AI: An Analysis of AI Practitioners’ Awareness and Challenges",2024,"ACM Transactions on Software Engineering and Methodology","Association for Computing Machinery (ACM)","https://doi.org/10.1145/3635715","",505,"2025-02-04 16:55:17","journal-article","10.1145/3635715","1049-331X","",33,3,1,35,12,12.00,2,5,1,"Ethics in AI has become a debated topic of public and expert discourse in recent years. But what do people who build AI—AI practitioners—have to say about their understanding of AI ethics and the challenges associated with incorporating it into the AI-based systems they develop? Understanding AI practitioners’ views on AI ethics is important as they are the ones closest to the AI systems and can bring about changes and improvements. We conducted a survey aimed at understanding AI practitioners’","https://dl.acm.org/doi/pdf/10.1145/3635715",""
12,"Mark Theunissen, Jacob Browning","Putting explainable AI in context: institutional explanations for medical AI",2022,"Ethics and Information Technology","Springer Science and Business Media LLC","https://doi.org/10.1007/s10676-022-09649-8","",525,"2025-02-04 16:55:17","journal-article","10.1007/s10676-022-09649-8","1388-1957","",24,2,,,12,4.00,6,2,3,"Abstract: There is a current debate about if, and in what sense, machine learning systems used in the medical context need to be explainable. Those arguing in favor contend these systems require post hoc explanations for each individual decision to increase trust and ensure accurate diagnoses. Those arguing against suggest the high accuracy and reliability of the systems is sufficient for providing epistemic justified beliefs without the need for explaining each individual decision. But, as we show, both solutions have limitations—and it is unclear either address the epistemic worries of the medical professionals using these systems. We argue these systems do require an explanation, but an","https://link.springer.com/content/pdf/10.1007/s10676-022-09649-8.pdf",""
12,"Sven Nyholm","A new control problem? Humanoid robots, artificial intelligence, and the value of control",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00231-y","",552,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00231-y","2730-5953","",3,4,1229,1239,12,4.00,12,1,3,"Abstract: The control problem related to robots and AI usually discussed is that we might lose control over advanced technologies. When authors like Nick Bostrom and Stuart Russell discuss this control problem, they write in a way that suggests that having as much control as possible is good while losing control is bad. In life in general, however, not all forms of control are unambiguously positive and unproblematic. Some forms—e.g. control over other persons—are ethically problematic. Other forms of control are positive, and perhaps even intrinsically good. For example, one form of control that many philosophers have argued is intrinsically good and a virtue is self-control. In this paper, I relate these questions about control and its value to different forms of robots and AI more generally. I argue that the more robots are made to resemble human beings, the more problematic it becomes—at least symbolically speaking—to want to exercise full control over these robots. After all, it is unethical for one human being to want to fully control another human being. Accordingly, it might be seen as problematic—viz. as representing something intrinsically bad—to want to create humanoid robots that we exercise complete control over. In contrast, if there are forms of AI such that control over them can be seen as a form of self-control, then this might be seen as a virtuous form of control. The “new control problem”, as I call it, is the question of under what circumstances retaining and exercising complete control over robots and AI is unambiguously ethically good.","https://link.springer.com/content/pdf/10.1007/s43681-022-00231-y.pdf",""
12,"Sara Berger, Francesca Rossi","AI and Neurotechnology",2023,"Communications of the ACM","Association for Computing Machinery (ACM)","https://doi.org/10.1145/3529088","",647,"2025-02-04 16:55:17","journal-article","10.1145/3529088","0001-0782","",66,3,58,68,12,6.00,6,2,2,"The merging of machine, body, and psyche is on the horizon due to the technological advancements enabled by neuroscience and AI.","https://dl.acm.org/doi/pdf/10.1145/3529088",""
11,"Sara Kassir, Lewis Baker, Jackson Dolphin, Frida Polli","AI for hiring in context: a perspective on overcoming the unique challenges of employment research to mitigate disparate impact",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00208-x","",25,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00208-x","2730-5953","",3,3,845,868,11,3.67,3,4,3,"Abstract: Commentators interested in the societal implications of automated decision-making often overlook how decisions are made in the technology’s absence. For example, the benefits of ML and big data are often summarized as efficiency, objectivity, and consistency; the risks, meanwhile, include replicating historical discrimination and oversimplifying nuanced situations. While this perspective tracks when technology replaces capricious human judgements, it is ill-suited to contexts where standardized assessments already exist. In spaces like employment selection, the relevant question is how an ML model compares to a manually built test. In this paper, we explain that since the Civil Rights Act, industrial and organizational (I/O) psychologists have struggled to produce assessments without disparate impact. By examining the utility of ML for conducting exploratory analyses, coupled with the back-testing capability offered by advances in data science, we explain modern technology’s utility for hiring. We then empirically investigate a commercial hiring platform that applies several oft-cited benefits of ML to build custom job models for corporate employers. We focus on the disparate impact observed when models are deployed to evaluate real-world job candidates. Across a sample of 60 jobs built for 26 employers and used to evaluate approximately 400,00 candidates, minority-weighted impact ratios of 0.93 (Black–White), 0.97 (Hispanic–White), and 0.98 (Female–Male) are observed. We find similar results for candidates selecting disability-related accommodations within the platform versus unaccommodated users. We conclude by describing limitations, anticipating criticisms, and outlining further research.","https://link.springer.com/content/pdf/10.1007/s43681-022-00208-x.pdf",""
11,"Jamy Li, Mark Chignell","FMEA-AI: AI fairness impact assessment using failure mode and effects analysis",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00145-9","",179,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00145-9","2730-5953","",2,4,837,850,11,3.67,6,2,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00145-9.pdf",""
11,"Uwe Peters","Explainable AI lacks regulative reasons: why AI and human decision-making are not equally opaque",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00217-w","",213,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00217-w","2730-5953","",3,3,963,974,11,3.67,11,1,3,"Abstract: Many artificial intelligence (AI) systems currently used for decision-making are opaque, i.e., the internal factors that determine their decisions are not fully known to people due to the systems’ computational complexity. In response to this problem, several researchers have argued that human decision-making is equally opaque and since simplifying, reason-giving explanations (rather than exhaustive causal accounts) of a decision are typically viewed as sufficient in the human case, the same should hold for algorithmic decision-making. Here, I contend that this argument overlooks that human decision-making is sometimes significantly more transparent and trustworthy than algorithmic decision-making. This is because when people explain their decisions by giving reasons for them, this frequently prompts those giving the reasons to govern or regulate themselves so as to think and act in ways that confirm their reason reports. AI explanation systems lack this self-regulative feature. Overlooking it when comparing algorithmic and human decision-making can result in underestimations of the transparency of human decision-making and in the development of explainable AI that may mislead people by activating generally warranted beliefs about the regulative dimension of reason-giving.","https://link.springer.com/content/pdf/10.1007/s43681-022-00217-w.pdf",""
11,"Onur Bakiner","What do academics say about artificial intelligence ethics? An overview of the scholarship",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00182-4","",318,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00182-4","2730-5953","",3,2,513,525,11,3.67,11,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00182-4.pdf",""
11,"Ali Ladak","What would qualify an artificial intelligence for moral standing?",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00260-1","",421,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00260-1","2730-5953","",4,2,213,228,11,5.50,11,1,2,"Abstract: What criteria must an artificial intelligence (AI) satisfy to qualify for moral standing? My starting point is that sentient AIs should qualify for moral standing. But future AIs may have unusual combinations of cognitive capacities, such as a high level of cognitive sophistication without sentience. This raises the question of whether sentience is a necessary criterion for moral standing, or merely sufficient. After reviewing nine criteria that have been proposed in the literature, I suggest that there is a strong case for thinking that some non-sentient AIs, such as those that are conscious and have non-valenced preferences and goals, and those that are non-conscious and have sufficiently cognitively complex preferences and goals, should qualify for moral standing. After responding to some challenges, I tentatively argue that taking into account uncertainty about which criteria an entity must satisfy to qualify for moral standing, and strategic considerations such as how such decisions will affect humans and other sentient entities, further supports granting moral standing to some non-sentient AIs. I highlight three implications: that the issue of AI moral standing may be more important, in terms of scale and urgency, than if either sentience or consciousness is necessary; that researchers working on policies designed to be inclusive of sentient AIs should broaden their scope to include all AIs with morally relevant interests; and even those who think AIs cannot be sentient or conscious should take the issue seriously. However, much uncertainty about these considerations remains, making this an important topic for future research.","https://link.springer.com/content/pdf/10.1007/s43681-023-00260-1.pdf",""
11,"Andrew McStay","Replika in the Metaverse: the moral problem with empathy in ‘It from Bit’",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00252-7","",553,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00252-7","2730-5953","",3,4,1433,1445,11,3.67,11,1,3,"Abstract: This paper assesses claims of computational empathy in relation to existing social open-ended chatbots and intention that these chatbots will feature in emergent mixed reality contexts, recently given prominence due to interest in the Metaverse. Against the background of increasing loneliness within society and use of chatbots as a potential remedy for this, the paper considers two leading current social chatbots,","https://link.springer.com/content/pdf/10.1007/s43681-022-00252-7.pdf",""
11,"Saleh Afroogh","A probabilistic theory of trust concerning artificial intelligence: can intelligent robots trust humans?",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00174-4","",560,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00174-4","2730-5953","",3,2,469,484,11,3.67,11,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00174-4.pdf",""
11,"Petar Radanliev, David De Roure","Review of the state of the art in autonomous artificial intelligence",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00176-2","",586,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00176-2","2730-5953","",3,2,497,504,11,3.67,6,2,3,"Abstract: This article presents a new design for autonomous artificial intelligence (AI), based on the state-of-the-art algorithms, and describes a new autonomous AI system called ‘AutoAI’. The methodology is used to assemble the design founded on self-improved algorithms that use new and emerging sources of data (NEFD). The objective of the article is to conceptualise the design of a novel AutoAI algorithm. The conceptual approach is used to advance into building new and improved algorithms. The article integrates and consolidates the findings from existing literature and advances the AutoAI design into (1) using new and emerging sources of data for teaching and training AI algorithms and (2) enabling AI algorithms to use automated tools for training new and improved algorithms. This approach is going beyond the state-of-the-art in AI algorithms and suggests a design that enables autonomous algorithms to self-optimise and self-adapt, and on a higher level, be capable to self-procreate.","https://link.springer.com/content/pdf/10.1007/s43681-022-00176-2.pdf",""
11,"Federica Russo, Eric Schliesser, Jean Wagemans","Connecting ethics and epistemology of AI",2023,"AI &amp; SOCIETY","Springer Science and Business Media LLC","https://doi.org/10.1007/s00146-022-01617-6","",698,"2025-02-04 16:55:17","journal-article","10.1007/s00146-022-01617-6","0951-5666","",39,4,1585,1603,11,5.50,4,3,2,"Abstract: The need for fair and just AI is often related to the possibility of understanding AI itself, in other words, of turning an opaque box into a glass box, as inspectable as possible. Transparency and explainability, however, pertain to the technical domain and to philosophy of science, thus leaving the ethics and epistemology of AI largely disconnected. To remedy this, we propose an integrated approach premised on the idea that a glass-box epistemology should explicitly consider how to incorporate values and other normative considerations, such as intersectoral vulnerabilities, at critical stages of the whole process from design and implementation to use and assessment. To connect ethics and epistemology of AI, we perform a double shift of focus. First, we move from trusting the output of an AI system to trusting the process that leads to the outcome. Second, we move from expert assessment to more inclusive assessment strategies, aiming to facilitate expert and non-expert assessment. Together, these two moves yield a framework usable for experts and non-experts when they inquire into relevant epistemological and ethical aspects of AI systems. We dub our framework ‘epistemology-cum-ethics’ to signal the equal importance of both aspects. We develop it from the vantage point of the designers: how to create the conditions to internalize values into the whole process of design, implementation, use, and assessment of an AI system, in which values (epistemic and non-epistemic) are explicitly considered at each stage and inspectable by every salient actor involved at any moment.","https://link.springer.com/content/pdf/10.1007/s00146-022-01617-6.pdf",""
11,"James Bessen, Stephen Michael Impink, Robert Seamans","The Cost of Ethical AI Development for AI Startups",2022,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society","ACM","https://doi.org/10.1145/3514094.3534195","",877,"2025-02-04 16:55:17","proceedings-article","10.1145/3514094.3534195","","",,,92,106,11,3.67,4,3,3,"","https://dl.acm.org/doi/pdf/10.1145/3514094.3534195",""
11,"Julian J. Koplin","Dual-use implications of AI text generation",2023,"Ethics and Information Technology","Springer Science and Business Media LLC","https://doi.org/10.1007/s10676-023-09703-z","",949,"2025-02-04 16:55:17","journal-article","10.1007/s10676-023-09703-z","1388-1957","",25,2,,,11,5.50,11,1,2,"Abstract: AI researchers have developed sophisticated language models capable of generating paragraphs of 'synthetic text' on topics specified by the user. While AI text generation has legitimate benefits, it could also be misused, potentially to grave effect. For example, AI text generators could be used to automate the production of convincing fake news, or to inundate social media platforms with machine-generated disinformation. This paper argues that AI text generators should be conceptualised as a dual-use technology, outlines some relevant lessons from earlier debates on dual-use life sciences research, and calls for closer collaboration between ethicists and the machine learning community to address AI language models’ dual-use implications.","https://link.springer.com/content/pdf/10.1007/s10676-023-09703-z.pdf",""
10,"Thilo Hagendorff, David Danks","Ethical and methodological challenges in building morally informed AI systems",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00188-y","",4,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00188-y","2730-5953","",3,2,553,566,10,3.33,5,2,3,"Abstract: Recent progress in large language models has led to applications that can (at least) simulate possession of full moral agency due to their capacity to report context-sensitive moral assessments in open-domain conversations. However, automating moral decision-making faces several methodological as well as ethical challenges. They arise in the fields of bias mitigation, missing ground truth for moral “correctness”, effects of bounded ethicality in machines, changes in moral norms over time, risks of using morally informed AI systems as actual advice, as well as societal implications an increasing importance of algorithmic moral decision-making would have. This paper comments on all these challenges and provides critical considerations for future research on full artificial moral agency. Importantly, some of the adduced challenges can be met by more careful technology design, but others necessarily require engagement with core problems of meta-ethics.","https://link.springer.com/content/pdf/10.1007/s43681-022-00188-y.pdf",""
10,"Anne Zimmerman, Joel Janhonen, Emily Beer","Human/AI relationships: challenges, downsides, and impacts on human/human relationships",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00348-8","",6,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00348-8","2730-5953","",4,4,1555,1567,10,5.00,3,3,2,"","https://link.springer.com/content/pdf/10.1007/s43681-023-00348-8.pdf",""
10,"Shailendra Kumar, Sanghamitra Choudhury","Normative ethics, human rights, and artificial intelligence",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00170-8","",207,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00170-8","2730-5953","",3,2,441,450,10,3.33,5,2,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00170-8.pdf",""
10,"Tahereh Saheb","“Ethically contentious aspects of artificial intelligence surveillance: a social science perspective”",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00196-y","",500,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00196-y","2730-5953","",3,2,369,379,10,3.33,10,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00196-y.pdf",""
10,"Melanie Smallman","Multi Scale Ethics—Why We Need  to Consider the Ethics of AI in Healthcare at Different Scales",2022,"Science and Engineering Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s11948-022-00396-z","",798,"2025-02-04 16:55:17","journal-article","10.1007/s11948-022-00396-z","1353-3452","",28,6,,,10,3.33,10,1,3,"Abstract: Many researchers have documented how AI and data driven technologies have the potential to have profound effects on our lives—in ways that make these technologies stand out from those that went before. Around the world, we are seeing a significant growth in interest and investment in AI in healthcare. This has been coupled with rising concerns about the ethical implications of these technologies and an array of ethical guidelines for the use of AI and data in healthcare has arisen. Nevertheless, the question of if and how AI and data technologies can be ethical remains open to debate. This paper aims to contribute to this debate by considering the wide range of implications that have been attributed to these technologies and asking whether current ethical guidelines take these factors into account. In particular, the paper argues that while current ethics guidelines for AI in healthcare effectively account for the four key issues identified in the ethics literature (transparency; fairness; responsibility and privacy), they have largely neglected wider issues relating to the way in which these technologies shape institutional and social arrangements. This, I argue, has given current ethics guidelines a strong focus on evaluating the impact of these technologies on the individual, while not accounting for the powerful social shaping effects of these technologies. To address this, the paper proposes a Multiscale Ethics Framework, which aims to help technology developers and ethical evaluations to consider the wider implications of these technologies.","https://link.springer.com/content/pdf/10.1007/s11948-022-00396-z.pdf",""
9,"Edward Hunter Christie, Amy Ertan, Laurynas Adomaitis, Matthias Klaus","Regulating lethal autonomous weapon systems: exploring the challenges of explainability and traceability",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00261-0","",29,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00261-0","2730-5953","",4,2,229,245,9,4.50,2,4,2,"Abstract: We explore existing political commitments by states regarding the development and use of lethal autonomous weapon systems. We carry out two background reviewing efforts, the first addressing ethical and legal framings and proposals from recent academic literature, the second addressing recent formal policy principles as endorsed by states, with a focus on the principles adopted by the United States Department of Defense and the North Atlantic Treaty Organization. We then develop two conceptual case studies. The first addresses the interrelated principles of explainability and traceability, leading to proposals for acceptable scope limitations to these principles. The second considers the topic of deception in warfare and how it may be viewed in the context of ethical principles for lethal autonomous weapon systems.","https://link.springer.com/content/pdf/10.1007/s43681-023-00261-0.pdf",""
9,"Thilo Hagendorff","AI ethics and its pitfalls: not living up to its own standards?",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00173-5","",97,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00173-5","2730-5953","",3,1,329,336,9,3.00,9,1,3,"Abstract: AI ethics is deemed to be an essential ingredient in the quest for trustworthy AI. Hence, demands for implementing AI ethics and ethicists into AI organizations, especially corporations, are ubiquitous. However, the assumption that AI ethicists have particular epistemological advantages compared to non-ethicists as well as the idea that AI ethics automatically decreases the likelihood of unethical outcomes are both flawed. Therefore, this comment lists risks that either originate from AI ethicists themselves or from the consequences their embedding in AI organizations has. The compilation of risks comprises psychological considerations concerning the cognitive biases of AI ethicists themselves as well as biased reactions to their work, subject-specific and knowledge constraints AI ethicists often succumb to, negative side effects of ethics audits for AI applications, and many more. Ultimately, the aim of this comment is not to diminish or deny the importance of the discipline of AI ethics, but rather to increase its capacities for self-reflection and, ultimately, effectiveness.","https://link.springer.com/content/pdf/10.1007/s43681-022-00173-5.pdf",""
9,"Kevin LaGrandeur","The consequences of AI hype",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00352-y","",105,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00352-y","2730-5953","",4,3,653,656,9,4.50,9,1,2,"","https://link.springer.com/content/pdf/10.1007/s43681-023-00352-y.pdf",""
9,"Ori Freiman","Making sense of the conceptual nonsense ‘trustworthy AI’",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00241-w","",167,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00241-w","2730-5953","",3,4,1351,1360,9,3.00,9,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00241-w.pdf",""
9,"Ramón Alvarado","What kind of trust does AI deserve, if any?",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00224-x","",184,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00224-x","2730-5953","",3,4,1169,1183,9,3.00,9,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00224-x.pdf",""
9,"Päivi Kousa, Hannele Niemi","AI ethics and learning: EdTech companies’ challenges and solutions",2022,"Interactive Learning Environments","Informa UK Limited","https://doi.org/10.1080/10494820.2022.2043908","",287,"2025-02-04 16:55:17","journal-article","10.1080/10494820.2022.2043908","1049-4820","",31,10,6735,6746,9,3.00,5,2,3,"","https://www.tandfonline.com/doi/pdf/10.1080/10494820.2022.2043908",""
9,"Suzanne Kawamleh","Against explainability requirements for ethical artificial intelligence in health care",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00212-1","",447,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00212-1","2730-5953","",3,3,901,916,9,3.00,9,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00212-1.pdf",""
9,"Jorge Luis Morton Gutiérrez","On actor-network theory and algorithms: ChatGPT and the new power relationships in the age of AI",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00314-4","",471,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00314-4","2730-5953","",4,4,1071,1084,9,4.50,9,1,2,"","https://link.springer.com/content/pdf/10.1007/s43681-023-00314-4.pdf",""
9,"Muhammad Usman Tariq","The Role of AI Ethics in Cost and Complexity Reduction",2024,"Advances in Business Information Systems and Analytics","IGI Global","https://doi.org/10.4018/979-8-3693-2643-5.ch004","",716,"2025-02-04 16:55:17","book-chapter","10.4018/979-8-3693-2643-5.ch004","2327-3275","",,,59,78,9,9.00,9,1,1,"This chapter underscores the intrinsic connection between AI ethics and contemporary business dynamics, elucidating how ethical considerations can serve as facilitators for cost control and operational simplification. It offers a comprehensive exploration of how corporations can harness ethical principles to augment efficiency, transparency, and sustainability. This exploration delves into the impediments, strategic methodologies, and tangible benefits associated with the ethical deployment of AI. Commencing with a succinct overview of AI ethics, the chapter delineates key concepts, notably responsibility, justice, and transparency, thereby establishing a foundational understanding of their pivotal significance across diverse business scenarios. The intricate correlation between AI implementation and cost management is accentuated, with a focal point on how ethical AI practices contribute to cost savings and operational streamlining.","https://www.igi-global.com/viewtitle.aspx?TitleId=347527",""
9,"Muhammad Zahid Iqbal, Abraham G. Campbell","Adopting smart glasses responsibly: potential benefits, ethical, and privacy concerns with Ray-Ban stories",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00155-7","",722,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00155-7","2730-5953","",3,1,325,327,9,3.00,5,2,3,"Abstract: The adoption of innovative wearable technologies is potentially increasing as a new trend. Jumping into the augmented reality (AR) and Metaverse, Facebook (now known as Meta) launched smart glasses partnering with Ray-Ban sunglasses brand’s parent company EssilorLuxottica. Ray-Ban stories has several technical features for entertainment and socializing; more importantly, these features can be adopted in the future for more advanced wearable. However, these smart glasses also came with many ethical and privacy concerns along with their potential benefits. Furthermore, the unbridled deployment of these smart glasses brought several challenging questions for public social interaction when we will have more such devices in our lives. This short article has discussed the Ray-Ban stories’ ethical and privacy issues for social interaction and public places.","https://link.springer.com/content/pdf/10.1007/s43681-022-00155-7.pdf",""
9,"Konstantinos Konstantis, Antonios Georgas, Antonis Faras, Konstantinos Georgas, Aristotle Tympas","Ethical considerations in working with ChatGPT on a questionnaire about the future of work with ChatGPT",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00312-6","",909,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00312-6","2730-5953","",4,4,1335,1344,9,4.50,2,5,2,"Abstract: The prospect of the use of Large Language Models, like ChatGPT, in work environments raises important questions regarding both the potential for a dramatic change in the quality of jobs and the risk of unemployment. The answers to these questions, but, also, the posing of questions to be answered, may involve the use of ChatGPT. This, in turn, may give rise to a series of ethical considerations. The article seeks to identify such considerations by presenting a research on a questionnaire that was developed by means of ChatGPT before it was answered, first, by a group of humans (H) and, then, through the use of a machine (M), ChatGPT. The language model was actually used to respond to the questionnaire twice. First, based on its data (M1), and, second, based on it being asked to imitate a human (M2). Based on the significant differences between the H and M answers, and, further, on the noticeable differences occurring within the M answers (the differences between the M1 and M2 answers), the article concludes by registering a cluster of three ethical considerations.","https://link.springer.com/content/pdf/10.1007/s43681-023-00312-6.pdf",""
8,"Lameck Mbangula Amugongo, Alexander Kriebitz, Auxane Boch, Christoph Lütge","Operationalising AI ethics through the agile software development lifecycle: a case study of AI-enabled mobile health applications",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00331-3","",111,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00331-3","2730-5953","",,,,,8,4.00,2,4,2,"Abstract: Although numerous ethical principles and guidelines have been proposed to guide the development of artificial intelligence (AI) systems, it has proven difficult to translate these principles into actionable practices beyond mere adherence to ethical ideas. This is particularly challenging in the context of AI systems for healthcare, which requires balancing the potential benefits of the solution against the risks to patients and the wider community, including minorities and underserved populations. To address this challenge, we propose a shift from one-size-fits-all ethical principles to contextualized case-based ethical frameworks. This study uses an AI-enabled mHealth application as a case study. Our framework is built on existing ethical guidelines and principles, including the AI4People framework, the EU High-Level Expert Group on trustworthy AI, and wider human rights considerations. Additionally, we incorporate relational perspectives to address human value concerns and moral tensions between individual rights and public health. Our approach is based on ”ethics by design,” where ethical principles are integrated throughout the entire AI development pipeline, ensuring that ethical considerations are not an afterthought but implemented from the beginning. For our case study, we identified 7 ethical principles: fairness, agility, precision, safeguarding humanity, respect for others, trust and accountability, and robustness and reproducibility. We believe that the best way to mitigate and address ethical consequences is by implementing ethical principles in the software development processes that developers commonly use. Finally, we provide examples of how our case-based framework can be applied in practice, using examples of AI-driven mobile applications in healthcare.","https://link.springer.com/content/pdf/10.1007/s43681-023-00331-3.pdf",""
8,"Andrea Aler Tubella, Marçal Mora-Cantallops, Juan Carlos Nieves","How to teach responsible AI in Higher Education: challenges and opportunities",2023,"Ethics and Information Technology","Springer Science and Business Media LLC","https://doi.org/10.1007/s10676-023-09733-7","",130,"2025-02-04 16:55:17","journal-article","10.1007/s10676-023-09733-7","1388-1957","",26,1,,,8,4.00,3,3,2,"Abstract: In recent years, the European Union has advanced towards responsible and sustainable Artificial Intelligence (AI) research, development and innovation. While the Ethics Guidelines for Trustworthy AI released in 2019 and the AI Act in 2021 set the starting point for a European Ethical AI, there are still several challenges to translate such advances into the public debate, education and practical learning. This paper contributes towards closing this gap by reviewing the approaches that can be found in the existing literature and by interviewing 11 experts across five countries to help define educational strategies, competencies and resources needed for the successful implementation of Trustworthy AI in Higher Education (HE) and to reach students from all disciplines. The findings are presented in the form of recommendations both for educators and policy incentives, translating the guidelines into HE teaching and practice, so that the next generation of young people can contribute to an ethical, safe and cutting-edge AI made in Europe.","https://link.springer.com/content/pdf/10.1007/s10676-023-09733-7.pdf",""
8,"Krishna Ravali Jammalamadaka, Srikanth Itapu","Responsible AI in automated credit scoring systems",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00175-3","",220,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00175-3","2730-5953","",3,2,485,495,8,2.67,4,2,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00175-3.pdf",""
8,"Jessica Rudd, Claudia Igbrude","A global perspective on data powering responsible AI solutions in health applications",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00302-8","",331,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00302-8","2730-5953","",4,4,1039,1049,8,4.00,4,2,2,"","https://link.springer.com/content/pdf/10.1007/s43681-023-00302-8.pdf",""
